1790274444,4071170, 22520 580475, 5502 228333, 17312 
1790274449,4071170, 22520 580475, 5502 228333, 17442 
1790274454,4071170, 22520 580475, 5502 228333, 17506 
1790274459,4071170, 22520 580475, 5502 228333, 17514 
1790274464,4071170, 22520 580475, 5502 228333, 17586 
1790274469,4071170, 22520 580475, 5502 228333, 17728 
1790274474,4071170, 22520 580475, 5502 228333, 17848 
1790274479,4071170, 22520 580475, 5502 228333, 17806 
1790274484,4071170, 22520 580475, 5502 228333, 17834 
1790274489,4071170, 22520 580475, 5502 228333, 17786 
1790274494,4071170, 22520 580475, 5502 228333, 18018 
1790274499,4071170, 22520 580475, 5502 228333, 18016 
1790274504,4071170, 22520 580475, 5502 228333, 17878 
1790274509,4071170, 22520 580475, 5502 228333, 17998 
1790274515,4071170, 22520 580475, 5502 228333, 17946 
1790274520,4071170, 22520 580475, 5502 228333, 18108 
1790274525,4071170, 22520 580475, 5502 228333, 18468 
1790274530,4071170, 22520 580475, 5502 228333, 18232 
1790274535,4071170, 22520 580475, 5502 228333, 18302 
1790274540,4071170, 22520 580475, 5502 228333, 18828 
1790274545,4071170, 22520 580475, 5502 228333, 18430 
1790274550,4071170, 22520 580475, 5502 228333, 18480 
1790274555,4071170, 22520 580475, 5502 228333, 18948 
1790274560,4071170, 22520 580475, 5502 228333, 18610 
1790274565,4071170, 22520 580475, 5502 228333, 18630 
1790274570,4071170, 22520 580475, 5502 228333, 18698 
1790274575,4071170, 22520 580475, 5502 228333, 18790 
1790274580,4071170, 22520 580475, 5502 228333, 19006 
1790274585,4071170, 22520 580475, 5502 228333, 18930 
1790274590,4071170, 22520 580475, 5502 228333, 19730 
1790274595,4071170, 22520 580475, 5502 228333, 19208 
1790274600,4071170, 22520 580475, 5502 228333, 18912 
1790274605,4071170, 22520 580475, 5502 228333, 19208 
1790274610,4071170, 22520 580475, 5502 228333, 20226 
1790274615,4071170, 22520 580475, 5502 228333, 19308 
1790274620,4071170, 22520 580475, 5502 228333, 20270 
1790274625,4071170, 22520 580475, 5502 228333, 20412 
1790274631,4071170, 22520 580475, 5502 228333, 19488 
1790274636,4071170, 22520 580475, 5502 228333, 19644 
1790274641,4071170, 22520 580475, 5502 228333, 19626 
1790274646,4071170, 22520 580475, 5502 228333, 19370 
1790274651,4071170, 22520 580475, 5502 228333, 19670 
1790274656,4071170, 22520 580475, 5502 228333, 19786 
1790274661,4071170, 22520 580475, 5502 228333, 19392 
1790274666,4071170, 22520 580475, 5502 228333, 19826 
1790274671,4071170, 22520 580475, 5502 228333, 19968 
1790274676,4071170, 22520 580475, 5502 228333, 21210 
1790274681,4071170, 22520 580475, 5502 228333, 20128 
1790274686,4071170, 22520 580475, 5502 228333, 20124 
1790274691,4071170, 22520 580475, 5502 228333, 19656 
1790274696,4071170, 22520 580475, 5502 228333, 20110 
1790274701,4071170, 22520 580475, 5502 228333, 20146 
1790274706,4071170, 22520 580475, 5502 228333, 20188 
1790274711,4071170, 22520 580475, 5502 228333, 20328 
1790274716,4071170, 22520 580475, 5502 228333, 21748 
1790274722,4071170, 22520 580475, 5502 228333, 20448 
1790274727,4071170, 22520 580475, 5502 228333, 20708 
1790274732,4071170, 22520 580475, 5502 228333, 22312 
1790274737,4071170, 22520 580475, 5502 228333, 20646 
1790274742,4071170, 22520 580475, 5502 228333, 20786 
1790274747,4071170, 22520 580475, 5502 228333, 21470 
1790274752,4071170, 22520 580475, 5502 228333, 20768 
1790274757,4071170, 22520 580475, 5502 228333, 20806 
1790274762,4071170, 22520 580475, 5502 228333, 22486 
1790274767,4071170, 22520 580475, 5502 228333, 20910 
1790274772,4071170, 22520 580475, 5502 228333, 20988 
1790274777,4071170, 22520 580475, 5502 228333, 21010 
1790274782,4071170, 22520 580475, 5502 228333, 19952 
1790274787,4071170, 22520 580475, 5502 228333, 21012 
1790274792,4071170, 22520 580475, 5502 228333, 21670 
1790274797,4071170, 22520 580475, 5502 228333, 21228 
1790274802,4071170, 22520 580475, 5502 228333, 21264 
1790274807,4071170, 22520 580475, 5502 228333, 23328 
1790274812,4071170, 22520 580475, 5502 228333, 21492 
1790274817,4071170, 22520 580475, 5502 228333, 21510 
1790274822,4071170, 22520 580475, 5502 228333, 21574 
1790274827,4071170, 22520 580475, 5502 228333, 21588 
1790274832,4071170, 22520 580475, 5502 228333, 21668 
1790274838,4071170, 22520 580475, 5502 228333, 21768 
1790274843,4071170, 22520 580475, 5502 228333, 23788 
1790274848,4071170, 22520 580475, 5502 228333, 21848 
1790274853,4071170, 22520 580475, 5502 228333, 22088 
1790274858,4071170, 22520 580475, 5502 228333, 20532 
1790274863,4071170, 22520 580475, 5502 228333, 21986 
1790274868,4071170, 22520 580475, 5502 228333, 22006 
1790274873,4071170, 22520 580475, 5502 228333, 20450 
1790274878,4071170, 22520 580475, 5502 228333, 22030 
1790274883,4071170, 22520 580475, 5502 228333, 22126 
1790274888,4071170, 22520 580475, 5502 228333, 20674 
1790274893,4071170, 22520 580475, 5502 228333, 22226 
1790274898,4071170, 22520 580475, 5502 228333, 22390 
1790274903,4071170, 22520 580475, 5502 228333, 22468 
1790274908,4071170, 22520 580475, 5502 228333, 22426 
1790274913,4071170, 22520 580475, 5502 228333, 22504 
1790274918,4071170, 22520 580475, 5502 228333, 21054 
1790274923,4071170, 22520 580475, 5502 228333, 22606 
1790274928,4071170, 22520 580475, 5502 228333, 24188 
1790274934,4071170, 22520 580475, 5502 228333, 22710 
1790274939,4071170, 22520 580475, 5502 228333, 22806 
1790274944,4071170, 22520 580475, 5502 228333, 24648 
1790274949,4071170, 22520 580475, 5502 228333, 22848 
1790274954,4071170, 22520 580475, 5502 228333, 22948 
1790274959,4071170, 22520 580475, 5502 228333, 22764 
1790274964,4071170, 22520 580475, 5502 228333, 25432 
1790274969,4071170, 22520 580475, 5502 228333, 22968 
1790274974,4071170, 22520 580475, 5502 228333, 22920 
1790274979,4071170, 22520 580475, 5502 228333, 23172 
1790274984,4071170, 22520 580475, 5502 228333, 23444 
1790274989,4071170, 22520 580475, 5502 228333, 23490 
1790274994,4071170, 22520 580475, 5502 228333, 24370 
1790274999,4071170, 22520 580475, 5502 228333, 23726 
1790275004,4071170, 22520 580475, 5502 228333, 23750 
1790275009,4071170, 22520 580475, 5502 228333, 23672 
1790275014,4071170, 22520 580475, 5502 228333, 24790 
1790275019,4071170, 22520 580475, 5502 228333, 23788 
1790275024,4071170, 22520 580475, 5502 228333, 26508 
1790275029,4071170, 22520 580475, 5502 228333, 22870 
1790275034,4071170, 22520 580475, 5502 228333, 21810 
1790275039,4071170, 22520 580475, 5502 228333, 23886 
1790275045,4071170, 22520 580475, 5502 228333, 23922 
1790275050,4071170, 22520 580475, 5502 228333, 21642 
