[1/100] talking_to_other/1
[2/100] talking_to_other/2
[3/100] talking_to_other/3
[4/100] talking_to_other/4
[5/100] talking_to_other/5
[6/100] talking_to_other/6
[7/100] talking_to_other/7
[8/100] talking_to_other/8
[9/100] talking_to_other/9
[10/100] talking_to_other/10
[11/100] talking_to_other/11
[12/100] talking_to_other/12
[13/100] talking_to_other/13
[14/100] talking_to_other/14
[15/100] talking_to_other/15
[16/100] talking_to_other/16
[17/100] talking_to_other/17
[18/100] talking_to_other/18
[19/100] talking_to_other/19
[20/100] talking_to_other/20
[21/100] talking_to_other/21
[22/100] talking_to_other/22
[23/100] talking_to_other/23
[24/100] talking_to_other/24
[25/100] talking_to_other/25
[26/100] talking_to_other/26
[27/100] talking_to_other/27
[28/100] talking_to_other/28
[29/100] talking_to_other/29
[30/100] talking_to_other/30
[31/100] talking_to_other/31
[32/100] talking_to_other/32
[33/100] talking_to_other/33
[34/100] talking_to_other/34
[35/100] talking_to_other/35
[36/100] talking_to_other/36
[37/100] talking_to_other/37
[38/100] talking_to_other/38
[39/100] talking_to_other/39
[40/100] talking_to_other/40
[41/100] talking_to_other/41
[42/100] talking_to_other/42
[43/100] talking_to_other/43
[44/100] talking_to_other/44
[45/100] talking_to_other/45
[46/100] talking_to_other/46
[47/100] talking_to_other/47
[48/100] talking_to_other/48
[49/100] talking_to_other/49
[50/100] talking_to_other/50
[51/100] talking_to_other/51
[52/100] talking_to_other/52
[53/100] talking_to_other/53
[54/100] talking_to_other/54
[55/100] talking_to_other/55
[56/100] talking_to_other/56
[57/100] talking_to_other/57
[58/100] talking_to_other/58
[59/100] talking_to_other/59
[60/100] talking_to_other/60
[61/100] talking_to_other/61
[62/100] talking_to_other/62
[63/100] talking_to_other/63
[64/100] talking_to_other/64
[65/100] talking_to_other/65
[66/100] talking_to_other/66
[67/100] talking_to_other/67
[68/100] talking_to_other/68
[69/100] talking_to_other/69
[70/100] talking_to_other/70
[71/100] talking_to_other/71
[72/100] talking_to_other/72
[73/100] talking_to_other/73
[74/100] talking_to_other/74
[75/100] talking_to_other/75
[76/100] talking_to_other/76
[77/100] talking_to_other/77
[78/100] talking_to_other/78
[79/100] talking_to_other/79
[80/100] talking_to_other/80
[81/100] talking_to_other/81
[82/100] talking_to_other/82
[83/100] talking_to_other/83
[84/100] talking_to_other/84
[85/100] talking_to_other/85
[86/100] talking_to_other/86
[87/100] talking_to_other/87
[88/100] talking_to_other/88
[89/100] talking_to_other/89
[90/100] talking_to_other/90
[91/100] talking_to_other/91
[92/100] talking_to_other/92
[93/100] talking_to_other/93
[94/100] talking_to_other/94
[95/100] talking_to_other/95
[96/100] talking_to_other/96
[97/100] talking_to_other/97
[98/100] talking_to_other/98
[99/100] talking_to_other/99
[100/100] talking_to_other/100

cell       : F1=cascade F10=slow-only F11=3fps F12=qwen3-asr F2=fast+slow F3=audio F4=200ms F5=engine F6=hosted-high F7=narration F8=none F9=local-text
provenance : 3001ca6164e3 on ubuntu
tasks      : 100 completed, 0 failed, of 100 expected
score      : 78/93 applicable, 83.9% (7 not applicable)
  talking_to_other   hold  78/93 applicable  83.9%  (7 not applicable)

reportable
written to /home/ubuntu/OpenRealtime/.runtime/duplex-plan/results/e2e/microturn-voxtral-qwen3-kyutai/runs/20260923T133815Z-8dw16iqd/fdb-talking_to_other.json
