model,requested_thinking_budget,case,repeat,http_status,thoughts_token_count_present,thoughts_token_count,prompt_token_count,answer_token_count,total_token_count,total_minus_prompt_minus_answer,first_text_ms
gemini-3.6-flash,128,france,2,200,False,,478,7,485,0,881.1958038713783
gemini-3.8-flash,128,japan,2,200,False,,475,7,482,0,537.8828388638794
gemini-3.6-flash,512,substantive,1,200,True,99,543,21,663,99,1274.8148271348327
gemini-3.7-flash,512,japan,2,200,False,,475,7,482,0,547.9113659821451
gemini-3.7-flash,0,france,2,200,False,,478,7,485,0,511.22250501066446
gemini-3.7-flash,0,substantive,3,200,False,,543,16,559,0,567.2743341419846
gemini-3.5-flash,0,france,1,200,False,,478,7,485,0,677.3959691636264
gemini-3-flash-preview,512,substantive,2,200,False,,543,27,570,0,724.0035710856318
gemini-3.6-flash,0,substantive,2,400,False,,,,,,
gemini-3.6-flash,128,france,3,200,False,,478,7,485,0,901.1699468828738
gemini-3.7-flash,128,substantive,3,200,False,,543,25,568,0,580.0998108461499
gemini-3.6-flash,0,france,1,400,False,,,,,,
gemini-3.8-flash,0,japan,1,200,False,,475,7,482,0,535.0559870712459
gemini-3.7-flash,0,japan,1,200,False,,475,7,482,0,508.5338079370558
gemini-3.7-flash,512,france,1,200,False,,478,7,485,0,616.597319021821
gemini-3.8-flash,0,japan,2,200,False,,475,7,482,0,484.4714018981904
gemini-3-flash-preview,128,substantive,2,200,False,,543,27,570,0,702.934344066307
gemini-3.7-flash,512,substantive,3,200,False,,543,21,564,0,475.4160090815276
gemini-3.6-flash,512,france,2,200,False,,478,7,485,0,642.091253073886
gemini-3.8-flash,512,substantive,1,200,False,,543,26,569,0,555.6972529739141
gemini-3.6-flash,512,japan,3,200,False,,475,7,482,0,940.8541140146554
gemini-3.8-flash,128,france,3,200,False,,478,7,485,0,1240.375665947795
gemini-3.8-flash,512,france,3,200,False,,478,7,485,0,479.32515502907336
gemini-3-flash-preview,512,france,1,200,False,,478,7,485,0,722.4093361292034
gemini-3.6-flash,512,japan,2,200,False,,475,7,482,0,949.929985916242
gemini-3-flash-preview,128,france,2,200,False,,478,7,485,0,549.6029949281365
gemini-3.7-flash,512,france,3,200,False,,478,7,485,0,485.5701581109315
gemini-3-flash-preview,0,substantive,1,200,False,,543,29,572,0,602.4686500895768
gemini-3.6-flash,128,japan,2,200,False,,475,7,482,0,874.8967458959669
gemini-3-flash-preview,0,substantive,2,200,False,,543,29,572,0,723.4723689034581
gemini-3-flash-preview,512,japan,2,200,False,,475,7,482,0,679.1655290871859
