model,requested_thinking_level,requested_thinking_budget,include_thoughts,case,repeat,http_status,finish_reason,thoughts_token_count_present,thoughts_token_count,prompt_token_count,answer_token_count,total_token_count,thought_summary_chars,first_text_ms,complete_ms
gemini-3.7-flash,,128,False,france,1,200,STOP,False,,478,7,485,0,605.1285818684846,652.006828924641
gemini-3.7-flash,,128,False,france,2,200,STOP,False,,478,7,485,0,684.5466790255159,728.6252649500966
gemini-3.7-flash,,128,False,france,3,200,STOP,True,44,478,7,529,0,889.005099888891,930.3705240599811
gemini-3.7-flash,,128,False,japan,1,200,STOP,False,,475,7,482,0,593.8083920627832,634.2975639272481
gemini-3.7-flash,,128,False,japan,2,200,STOP,False,,475,7,482,0,559.3082210980356,610.602580010891
gemini-3.7-flash,,128,False,japan,3,200,STOP,False,,475,7,482,0,799.3491180241108,850.2706680446863
gemini-3.7-flash,,128,False,substantive,1,200,STOP,False,,543,19,562,0,650.5980279762298,722.3043809644878
gemini-3.7-flash,,128,False,substantive,2,200,STOP,False,,543,26,569,0,563.8409189414233,717.8907920606434
gemini-3.7-flash,,128,False,substantive,3,200,STOP,False,,543,18,561,0,700.8641480933875,742.0655840542167
gemini-3.7-flash,,128,True,france,1,200,STOP,False,,478,7,485,0,666.8535759672523,715.5259340070188
gemini-3.7-flash,,128,True,france,2,200,STOP,False,,478,7,485,0,732.0612869225442,786.1325810663402
gemini-3.7-flash,,128,True,france,3,200,STOP,False,,478,7,485,0,725.7195329293609,773.1238808482885
gemini-3.7-flash,,128,True,japan,1,200,STOP,False,,475,7,482,0,784.4187370501459,825.9235001169145
gemini-3.7-flash,,128,True,japan,2,200,STOP,False,,475,7,482,0,688.6267149820924,729.1116931010038
gemini-3.7-flash,,128,True,japan,3,200,STOP,False,,475,7,482,0,726.6256911680102,771.3834049645811
gemini-3.7-flash,,128,True,substantive,1,200,STOP,False,,543,25,568,0,709.9644308909774,743.4251520317048
gemini-3.7-flash,,128,True,substantive,2,200,STOP,False,,543,17,560,0,594.5690029766411,635.6281279586256
gemini-3.7-flash,,128,True,substantive,3,200,STOP,False,,543,28,571,0,726.152810966596,836.1854921095073
gemini-3.7-flash,high,,False,france,1,200,STOP,True,63,478,7,548,0,831.2504061032087,872.9313560761511
gemini-3.7-flash,high,,False,france,2,200,STOP,True,75,478,7,560,0,833.7980518117547,875.65469997935
gemini-3.7-flash,high,,False,france,3,200,STOP,True,77,478,7,562,0,869.4929911289364,911.8353170342743
gemini-3.7-flash,high,,False,japan,1,200,STOP,True,239,475,7,721,0,1474.3214619811624,1542.8067250177264
gemini-3.7-flash,high,,False,japan,2,200,STOP,True,87,475,7,569,0,967.9734951350838,1009.3519079964608
gemini-3.7-flash,high,,False,japan,3,200,STOP,True,369,475,7,851,0,1735.6547131203115,1797.2175281029195
gemini-3.7-flash,high,,False,substantive,1,200,STOP,True,469,543,24,1036,0,2404.558647889644,2467.7714188583195
gemini-3.7-flash,high,,False,substantive,2,200,STOP,True,339,543,30,912,0,1881.090704118833,1950.1573860179633
gemini-3.7-flash,high,,False,substantive,3,200,STOP,True,566,543,25,1134,0,2508.852808037773,2582.4933538679034
gemini-3.7-flash,high,,True,france,1,200,STOP,True,73,478,7,558,0,748.8079718314111,789.6865599323064
gemini-3.7-flash,high,,True,france,2,200,STOP,True,46,478,7,531,0,902.8236200101674,947.222787886858
gemini-3.7-flash,high,,True,france,3,200,STOP,True,102,478,7,587,0,1037.070482969284,1078.3159579150379
gemini-3.7-flash,high,,True,japan,1,200,STOP,True,93,475,7,575,0,965.9392510075122,1007.3913130909204
gemini-3.7-flash,high,,True,japan,2,200,STOP,True,192,475,7,674,0,1142.290729796514,1213.5634669102728
gemini-3.7-flash,high,,True,japan,3,200,STOP,True,139,475,7,621,0,1132.18430778943,1161.4044229499996
gemini-3.7-flash,high,,True,substantive,1,200,STOP,True,231,543,28,802,234,2583.2237750291824,2665.258249035105
gemini-3.7-flash,high,,True,substantive,2,200,STOP,True,246,543,24,813,140,1576.5415967907757,1640.6054948456585
gemini-3.7-flash,high,,True,substantive,3,200,STOP,True,420,543,32,995,292,2119.2300128750503,2184.250447899103
gemini-3.7-flash,low,,False,france,1,200,STOP,False,,478,7,485,0,702.1241490729153,745.3277981840074
gemini-3.7-flash,low,,False,france,2,200,STOP,False,,478,7,485,0,794.2296238616109,834.9648378789425
gemini-3.7-flash,low,,False,france,3,200,STOP,False,,478,7,485,0,604.2467730585486,645.7687939982861
gemini-3.7-flash,low,,False,japan,1,200,STOP,False,,475,7,482,0,555.9445451945066,596.7585670296103
gemini-3.7-flash,low,,False,japan,2,200,STOP,False,,475,7,482,0,755.4597652051598,820.7441051490605
gemini-3.7-flash,low,,False,japan,3,200,STOP,False,,475,7,482,0,670.623661018908,729.5382269658148
gemini-3.7-flash,low,,False,substantive,1,200,STOP,False,,543,18,561,0,811.8539908900857,852.8912549372762
gemini-3.7-flash,low,,False,substantive,2,200,STOP,False,,543,19,562,0,752.139492193237,912.4284621793777
gemini-3.7-flash,low,,False,substantive,3,200,STOP,False,,543,16,559,0,735.1260650902987,840.6545501202345
gemini-3.7-flash,low,,True,france,1,200,STOP,False,,478,7,485,0,860.5122701264918,904.0116320829839
gemini-3.7-flash,low,,True,france,2,200,STOP,False,,478,7,485,0,779.6409749425948,829.1367900092155
gemini-3.7-flash,low,,True,france,3,200,STOP,False,,478,7,485,0,969.2606320604682,1014.0681259799749
gemini-3.7-flash,low,,True,japan,1,200,STOP,False,,475,7,482,0,619.6178148966283,660.4554690420628
gemini-3.7-flash,low,,True,japan,2,200,STOP,False,,475,7,482,0,627.5931890122592,668.3954419568181
gemini-3.7-flash,low,,True,japan,3,200,STOP,False,,475,7,482,0,656.5176311414689,711.7040080484003
gemini-3.7-flash,low,,True,substantive,1,200,STOP,False,,543,28,571,0,603.4660949371755,750.8312119171023
gemini-3.7-flash,low,,True,substantive,2,200,STOP,False,,543,16,559,0,771.1087670177221,877.4446048773825
gemini-3.7-flash,low,,True,substantive,3,200,STOP,False,,543,19,562,0,610.4418120812625,655.2311540581286
